URL, Rent, Address
http://www.trulia.com//rental/3060573237-857-Clay-St-San-Francisco-CA-94108,$700 /mo,"857 Clay St, San Francisco, CA 94108"
http://www.trulia.com//rental/3068916650-2070-Pacific-Ave-204-San-Francisco-CA-94109,$700 /mo,"2070 Pacific Ave #204, San Francisco, CA 94109"
http://www.trulia.com//rental/3102891283--Taylor-St-San-Francisco-CA-94102,$900 /mo," Taylor St, San Francisco, CA 94102"
http://www.trulia.com//rental/3076235983--Taylor-St-San-Francisco-CA-94102,$900 /mo," Taylor St, San Francisco, CA 94102"
http://www.trulia.com//rental/3121057937-721-Geary-St-San-Francisco-CA-94109,"$1,100 /mo","721 Geary St, San Francisco, CA 94109"
http://www.trulia.com//rental/3099937214-1000-Howard-St-310-San-Francisco-CA-94103,"$1,100 /mo","1000 Howard St #310, San Francisco, CA 94103"
http://www.trulia.com//rental/3119366271-1008-Larkin-St-409-San-Francisco-CA-94109,"$1,295 /mo","1008 Larkin St #409, San Francisco, CA 94109"
http://www.trulia.com//rental/3116450032--Arbol-Ln-San-Francisco-CA-94115,"$1,300 /mo"," Arbol Ln, San Francisco, CA 94115"
http://www.trulia.com//rental/3120794846-251-9th-St-San-Francisco-CA-94103,"$1,300 /mo","251 9th St, San Francisco, CA 94103"
http://www.trulia.com//rental/3120262952-720-Jones-St-San-Francisco-CA-94109,"$1,325 /mo","720 Jones St, San Francisco, CA 94109"
http://www.trulia.com//rental/3115908590-675-Ofarrell-St-San-Francisco-CA-94109,"$1,350 /mo","675 Ofarrell St, San Francisco, CA 94109"
http://www.trulia.com//rental/3118768053-650-Ellis-St-San-Francisco-CA-94109,"$1,395 /mo","650 Ellis St, San Francisco, CA 94109"
http://www.trulia.com//rental/3118888986-144B-Clinton-Park-San-Francisco-CA-94103,"$1,395 /mo","144B Clinton Park, San Francisco, CA 94103"
http://www.trulia.com//rental/3096393030-545-Jones-St-San-Francisco-CA-94102,"$1,400 /mo","545 Jones St, San Francisco, CA 94102"
http://www.trulia.com//rental/3115845496-890-Geary-St-San-Francisco-CA-94109,"$1,400 /mo","890 Geary St, San Francisco, CA 94109"
http://www.trulia.com//rental/3120794997-1388-California-St-San-Francisco-CA-94109,"$1,400 /mo","1388 California St, San Francisco, CA 94109"
http://www.trulia.com//rental/3118641211-146-Mcallister-St-San-Francisco-CA-94102,"$1,425 /mo","146 Mcallister St, San Francisco, CA 94102"
http://www.trulia.com//rental/3119363833-720-Jones-St-San-Francisco-CA-94109,"$1,425 /mo","720 Jones St, San Francisco, CA 94109"
http://www.trulia.com//rental/3115561303-520-Geary-St-San-Francisco-CA-94102,"$1,425 /mo","520 Geary St, San Francisco, CA 94102"
http://www.trulia.com//rental/3115560590-650-Ellis-St-San-Francisco-CA-94109,"$1,450 /mo","650 Ellis St, San Francisco, CA 94109"
http://www.trulia.com//rental/3120500822-539-Octavia-St-6-San-Francisco-CA-94102,"$1,450 /mo","539 Octavia St #6, San Francisco, CA 94102"
http://www.trulia.com//rental/3114774752-Apartment-San-Francisco-CA-94102,"$1,480 /mo","Address Not Disclosed, San Francisco, CA 94102"
http://www.trulia.com//rental/3115559681-815-Ofarrell-St-San-Francisco-CA-94109,"$1,495 /mo","815 Ofarrell St, San Francisco, CA 94109"
http://www.trulia.com//rental/3116019928-Apartment-San-Francisco-CA-94115,"$1,500 /mo","Pierce Street and Sacramento Street, San Francisco, CA 94115"
