URL, Rent, Address
http://www.trulia.com//rental/3089247628-680-Mission-St-San-Francisco-CA-94105,"$3,650 /mo","680 Mission St, San Francisco, CA 94105"
http://www.trulia.com//rental/3001886886-1915A-Divisadero-St-San-Francisco-CA-94115,"$3,650 /mo","1915A Divisadero St, San Francisco, CA 94115"
http://www.trulia.com//rental/3059973689--Pine-St-930-San-Francisco-CA-94108,"$3,650 /mo"," Pine St #930, San Francisco, CA 94108"
http://www.trulia.com//rental/3119194388-2070-Pacific-Ave-204-San-Francisco-CA-94109,"$3,650 /mo","2070 Pacific Ave #204, San Francisco, CA 94109"
http://www.trulia.com//rental/3113982072-930-Pine-St-101-San-Francisco-CA-94108,"$3,685 /mo","930 Pine St #101, San Francisco, CA 94108"
http://www.trulia.com//rental/3059960881--Indiana-St-1568-San-Francisco-CA-94107,"$3,688 /mo"," Indiana St #1568, San Francisco, CA 94107"
http://www.trulia.com//rental/3118641297-455-Upper-Ter-4-San-Francisco-CA-94117,"$3,695 /mo","455 Upper Ter #4, San Francisco, CA 94117"
http://www.trulia.com//rental/3068826116-855-Folsom-St-108-San-Francisco-CA-94107,"$3,700 /mo","855 Folsom St #108, San Francisco, CA 94107"
http://www.trulia.com//rental/3119109954-2130-Post-St-102-San-Francisco-CA-94115,"$3,700 /mo","2130 Post St #102, San Francisco, CA 94115"
http://www.trulia.com//rental/3061554600--Fillmore-St-San-Francisco-CA-94115,"$3,700 /mo"," Fillmore St, San Francisco, CA 94115"
http://www.trulia.com//rental/3118310378--Van-Ness-Ave-San-Francisco-CA-94109,"$3,700 /mo"," Van Ness Ave, San Francisco, CA 94109"
http://www.trulia.com//rental/3082966370--Davis-Ct-440-San-Francisco-CA-94111,"$3,700 /mo"," Davis Ct #440, San Francisco, CA 94111"
http://www.trulia.com//rental/3097274240-66-Encanto-Ave-San-Francisco-CA-94115,"$3,750 /mo","66 Encanto Ave, San Francisco, CA 94115"
http://www.trulia.com//rental/3119736360-38-Miller-Pl-San-Francisco-CA-94108,"$3,750 /mo","38 Miller Pl, San Francisco, CA 94108"
http://www.trulia.com//rental/3119136714-2130-Post-St-709-San-Francisco-CA-94115,"$3,750 /mo","2130 Post St #709, San Francisco, CA 94115"
http://www.trulia.com//rental/3102689631--Lombard-240-San-Francisco-CA-94111,"$3,780 /mo"," Lombard #240, San Francisco, CA 94111"
http://www.trulia.com//rental/3117266836--Hyde-St-San-Francisco-CA-94109,"$3,780 /mo"," Hyde St, San Francisco, CA 94109"
http://www.trulia.com//rental/3113982221-1-Daniel-Burnham-Ct-505-San-Francisco-CA-94109,"$3,800 /mo","1 Daniel Burnham Ct #505, San Francisco, CA 94109"
http://www.trulia.com//rental/3080349719--Harrison-San-Francisco-CA-94107,"$3,800 /mo"," Harrison, San Francisco, CA 94107"
http://www.trulia.com//rental/3118765814-2847-Fillmore-St-3-San-Francisco-CA-94123,"$3,800 /mo","2847 Fillmore St #3, San Francisco, CA 94123"
http://www.trulia.com//rental/3118733092-2130-Post-St-211-San-Francisco-CA-94115,"$3,800 /mo","2130 Post St #211, San Francisco, CA 94115"
http://www.trulia.com//rental/3062525038--Ashbury-St-San-Francisco-CA-94117,"$3,800 /mo"," Ashbury St, San Francisco, CA 94117"
http://www.trulia.com//rental/3114707834-1-Hawthorne-St-8G-San-Francisco-CA-94105,"$3,800 /mo","1 Hawthorne St #8G, San Francisco, CA 94105"
http://www.trulia.com//rental/3119137049-2130-Post-St-201-San-Francisco-CA-94115,"$3,800 /mo","2130 Post St #201, San Francisco, CA 94115"
http://www.trulia.com//rental/3081363770--Alpine-Ter-San-Francisco-CA-94117,"$3,820 /mo"," Alpine Ter, San Francisco, CA 94117"
http://www.trulia.com//rental/3113831874-1489-Webster-St-San-Francisco-CA-94115,"$3,850 /mo","1489 Webster St, San Francisco, CA 94115"
http://www.trulia.com//rental/3100332810-1-Daniel-Burnham-Ct-San-Francisco-CA-94109,"$3,850 /mo","1 Daniel Burnham Ct, San Francisco, CA 94109"
http://www.trulia.com//rental/3055983093-Apartment-San-Francisco-CA-94109,"$3,850 /mo","Address Not Disclosed, San Francisco, CA 94109"
http://www.trulia.com//rental/3112825328--Larkin-Pacific-San-Francisco-CA-94109,"$3,850 /mo"," Larkin Pacific, San Francisco, CA 94109"
http://www.trulia.com//rental/3061554765--Lombard-St-240-San-Francisco-CA-94111,"$3,850 /mo"," Lombard St #240, San Francisco, CA 94111"
http://www.trulia.com//rental/3120119344-355-Fulton-St-San-Francisco-CA-94102,"$3,850 /mo","355 Fulton St, San Francisco, CA 94102"
http://www.trulia.com//rental/3063584054--Post-San-Francisco-CA-94115,"$3,850 /mo"," Post, San Francisco, CA 94115"
http://www.trulia.com//rental/3099243141-2418-Washington-St-5-San-Francisco-CA-94115,"$3,900 /mo","2418 Washington St #5, San Francisco, CA 94115"
http://www.trulia.com//rental/3076085513-1155-Jones-St-San-Francisco-CA-94109,"$3,900 /mo","1155 Jones St, San Francisco, CA 94109"
http://www.trulia.com//rental/3085103979-1384-Mcallister-St-3-San-Francisco-CA-94115,"$3,900 /mo","1384 Mcallister St #3, San Francisco, CA 94115"
http://www.trulia.com//rental/3092859280-Apartment-San-Francisco-CA-94109,"$3,900 /mo","Jones Street and Pleasant Street, San Francisco, CA 94109"
http://www.trulia.com//rental/3118311922--Pine-San-Francisco-CA-94108,"$3,900 /mo"," Pine, San Francisco, CA 94108"
http://www.trulia.com//rental/3096427688-1655-Mission-St-529-San-Francisco-CA-94103,"$3,900 /mo","1655 Mission St #529, San Francisco, CA 94103"
http://www.trulia.com//rental/3115907644-1521-Sutter-St-507-San-Francisco-CA-94109,"$3,950 /mo","1521 Sutter St #507, San Francisco, CA 94109"
http://www.trulia.com//rental/3117542540--Sutter-St-San-Francisco-CA-94115,"$3,950 /mo"," Sutter St, San Francisco, CA 94115"
http://www.trulia.com//rental/3115731046-128-Morris-St-San-Francisco-CA-94107,"$3,950 /mo","128 Morris St, San Francisco, CA 94107"
http://www.trulia.com//rental/3120431176-28-Jennifer-Pl-35-San-Francisco-CA-94107,"$3,950 /mo","28 Jennifer Pl #35, San Francisco, CA 94107"
http://www.trulia.com//rental/3104259833-50-Joice-St-San-Francisco-CA-94108,"$3,955 /mo","50 Joice St, San Francisco, CA 94108"
http://www.trulia.com//rental/3120418748--Chestnut-St-111-San-Francisco-CA-94111,"$3,995 /mo"," Chestnut St #111, San Francisco, CA 94111"
http://www.trulia.com//rental/3059973710--Waller-246-San-Francisco-CA-94102,"$3,995 /mo"," Waller #246, San Francisco, CA 94102"
http://www.trulia.com//rental/3100430290--1st-St-San-Francisco-CA-94105,"$3,995 /mo"," 1st St, San Francisco, CA 94105"
http://www.trulia.com//rental/3119787399--Davis-Ct-316-San-Francisco-CA-94111,"$3,995 /mo"," Davis Ct #316, San Francisco, CA 94111"
http://www.trulia.com//rental/3076084950-246-Waller-St-San-Francisco-CA-94102,"$3,995 /mo","246 Waller St, San Francisco, CA 94102"
http://www.trulia.com//rental/3104093105-Apartment-San-Francisco-CA-94108,"$4,000 /mo","California Street and Pratt Place, San Francisco, CA 94108"
http://www.trulia.com//rental/3120952446-1310-Fillmore-St-1005-San-Francisco-CA-94115,"$4,000 /mo","1310 Fillmore St #1005, San Francisco, CA 94115"
http://www.trulia.com//rental/3076084533-1221-Jones-St-San-Francisco-CA-94109,"$4,000 /mo","1221 Jones St, San Francisco, CA 94109"
http://www.trulia.com//rental/3119786889--Battery-St-506-San-Francisco-CA-94111,"$4,000 /mo"," Battery St #506, San Francisco, CA 94111"
http://www.trulia.com//rental/3119787517--Davis-Ct-312-San-Francisco-CA-94111,"$4,000 /mo"," Davis Ct #312, San Francisco, CA 94111"
http://www.trulia.com//rental/3099821586-456-Montgomery-St-1148-San-Francisco-CA-94104,"$4,000 /mo","456 Montgomery St #1148, San Francisco, CA 94104"
http://www.trulia.com//rental/3092859037-Apartment-San-Francisco-CA-94109,"$4,000 /mo","Jones Street and Pleasant Street, San Francisco, CA 94109"
http://www.trulia.com//rental/3119786700--Battery-St-505-San-Francisco-CA-94111,"$4,000 /mo"," Battery St #505, San Francisco, CA 94111"
http://www.trulia.com//rental/3119787925--Davis-Ct-815-San-Francisco-CA-94111,"$4,000 /mo"," Davis Ct #815, San Francisco, CA 94111"
http://www.trulia.com//rental/3059968767--Jones-St-1221-San-Francisco-CA-94109,"$4,000 /mo"," Jones St #1221, San Francisco, CA 94109"
http://www.trulia.com//rental/3119248625-2130-Post-St-206-San-Francisco-CA-94115,"$4,000 /mo","2130 Post St #206, San Francisco, CA 94115"
http://www.trulia.com//rental/3113982782-1-Hawthorne-St-3F-San-Francisco-CA-94105,"$4,000 /mo","1 Hawthorne St #3F, San Francisco, CA 94105"
http://www.trulia.com//rental/3084834128--Daniel-Burnham-Ct-San-Francisco-CA-94109,"$4,000 /mo"," Daniel Burnham Ct, San Francisco, CA 94109"
